timestamp,mem_total_mb,mem_used_mb,mem_free_mb,mem_available_mb,swap_used_mb,gpu_used_mib,gpu_free_mib,gpu_util_pct
2026-04-17T14:55:30,15748,5066,3457,10681,0,321,11589,0
2026-04-17T14:55:31,15748,5101,3422,10646,0,321,11589,0
2026-04-17T14:55:32,15748,5121,3402,10626,0,321,11589,0
2026-04-17T14:55:33,15748,5136,3387,10611,0,321,11589,0
2026-04-17T14:55:34,15748,5146,3377,10601,0,321,11589,0
2026-04-17T14:55:35,15748,5159,3364,10588,0,321,11589,0
2026-04-17T14:55:36,15748,5170,3353,10577,0,321,11589,0
2026-04-17T14:55:37,15748,5188,3335,10559,0,321,11589,0
2026-04-17T14:55:38,15748,5182,3341,10565,0,321,11589,0
2026-04-17T14:55:39,15748,5183,3340,10564,0,321,11589,0
2026-04-17T14:55:40,15748,5163,3360,10585,0,321,11589,0
2026-04-17T14:55:41,15748,5150,3373,10597,0,321,11589,0
2026-04-17T14:55:42,15748,5165,3358,10582,0,321,11589,0
2026-04-17T14:55:43,15748,5452,3071,10295,0,324,11586,0
2026-04-17T14:55:44,15748,6051,2472,9696,0,1001,10909,0
2026-04-17T14:55:45,15748,7625,898,8122,0,1001,10909,0
2026-04-17T14:55:46,15748,6147,2375,9614,0,2721,9189,0
2026-04-17T14:55:47,15748,7563,959,8184,0,2815,9095,0
2026-04-17T14:55:48,15748,7830,693,7913,0,2815,9095,0
2026-04-17T14:55:49,15748,9173,216,6574,0,2815,9095,0
2026-04-17T14:55:51,15748,9432,180,6311,0,2815,9095,0
2026-04-17T14:55:52,15748,9922,173,5826,0,2815,9095,0
2026-04-17T14:55:53,15748,10377,217,5366,31,2815,9095,0
2026-04-17T14:55:54,15748,10773,187,4966,64,2815,9095,0
2026-04-17T14:55:55,15748,11072,185,4676,160,2815,9095,0
2026-04-17T14:55:56,15748,11219,139,4555,306,2815,9095,0
2026-04-17T14:55:57,15748,11250,160,4495,498,2815,9095,0
2026-04-17T14:55:58,15748,11152,161,4592,772,2815,9095,0
2026-04-17T14:55:59,15748,11035,166,4714,1045,2815,9095,0
2026-04-17T14:56:00,15748,11331,286,4416,1099,2815,9095,0
2026-04-17T14:56:02,15748,8277,3319,7471,1099,4741,7169,5
2026-04-17T14:56:03,15748,8361,3232,7386,1099,5775,6135,100
2026-04-17T14:56:04,15748,8376,3212,7371,1099,6231,5679,95
2026-04-17T14:56:05,15748,8366,3221,7381,1099,6313,5597,100
2026-04-17T14:56:06,15748,8371,3216,7376,1099,6313,5597,100
2026-04-17T14:56:07,15748,8395,3192,7352,1099,6395,5515,100
2026-04-17T14:56:08,15748,8411,3176,7336,1099,6395,5515,98
2026-04-17T14:56:09,15748,8432,3155,7315,1099,6395,5515,99
2026-04-17T14:56:10,15748,8412,3174,7335,1098,6477,5433,99
2026-04-17T14:56:11,15748,8419,3167,7328,1098,6639,5271,100
2026-04-17T14:56:12,15748,8419,3166,7328,1098,6639,5271,100
2026-04-17T14:56:13,15748,8427,3158,7320,1098,6639,5271,100
2026-04-17T14:56:14,15748,8434,3151,7313,1098,6639,5271,100
2026-04-17T14:56:15,15748,8419,3166,7328,1098,6721,5189,98
2026-04-17T14:56:16,15748,8409,3175,7338,1098,6721,5189,99
2026-04-17T14:56:17,15748,4122,7461,11625,1098,321,11589,0
2026-04-17T14:56:18,15748,4113,7461,11635,1098,321,11589,0
2026-04-17T14:56:19,15748,4125,7449,11622,1098,321,11589,0
2026-04-17T14:56:20,15748,4106,7468,11644,1098,321,11589,0
2026-04-17T14:56:21,15748,4116,7458,11631,1098,321,11589,0
2026-04-17T14:56:22,15748,4100,7474,11647,1098,321,11589,0
2026-04-17T14:56:23,15748,4091,7482,11656,1098,321,11589,0
2026-04-17T14:56:24,15748,4083,7490,11664,1098,321,11589,0
2026-04-17T14:56:25,15748,4068,7506,11680,1098,321,11589,0
2026-04-17T14:56:26,15748,4071,7503,11676,1098,321,11589,0
2026-04-17T14:56:27,15748,4057,7517,11690,1098,321,11589,0
2026-04-17T14:56:28,15748,4053,7521,11695,1098,321,11589,0
2026-04-17T14:56:30,15748,4052,7522,11696,1098,321,11589,0
