timestamp,mem_total_mb,mem_used_mb,mem_free_mb,mem_available_mb,swap_used_mb,gpu_used_mib,gpu_free_mib,gpu_util_pct
2026-04-17T16:11:06,15748,3134,7512,12613,1734,321,11589,0
2026-04-17T16:11:07,15748,3126,7520,12620,1734,321,11589,0
2026-04-17T16:11:08,15748,3137,7510,12610,1734,321,11589,0
2026-04-17T16:11:10,15748,3134,7513,12613,1734,321,11589,0
2026-04-17T16:11:11,15748,3428,7218,12319,1734,321,11589,0
2026-04-17T16:11:12,15748,3613,7034,12134,1734,336,11574,0
2026-04-17T16:11:13,15748,5182,5465,10565,1734,1001,10909,0
2026-04-17T16:11:14,15748,5678,4969,10069,1734,1001,10909,0
2026-04-17T16:11:15,15748,5020,5626,10727,1734,2815,9095,0
2026-04-17T16:11:16,15748,5705,4942,10042,1734,2815,9095,0
2026-04-17T16:11:17,15748,6898,3748,8841,1734,2815,9095,0
2026-04-17T16:11:18,15748,8224,2422,7523,1734,2815,9095,0
2026-04-17T16:11:19,15748,10549,172,5198,1742,2815,9095,0
2026-04-17T16:11:20,15748,7356,3384,8391,1743,5289,6621,40
2026-04-17T16:11:21,15748,7545,3195,8202,1743,6301,5609,91
2026-04-17T16:11:22,15748,7638,3102,8109,1743,6573,5337,99
2026-04-17T16:11:23,15748,7779,2961,7968,1743,6655,5255,100
2026-04-17T16:11:24,15748,7903,2838,7845,1743,7005,4905,100
2026-04-17T16:11:25,15748,7972,2768,7775,1743,7005,4905,100
2026-04-17T16:11:26,15748,8032,2708,7716,1743,7087,4823,100
2026-04-17T16:11:27,15748,8071,2669,7676,1743,7169,4741,100
2026-04-17T16:11:28,15748,8183,2556,7564,1743,7333,4577,95
2026-04-17T16:11:29,15748,8249,2491,7498,1743,7497,4413,97
2026-04-17T16:11:30,15748,8260,2480,7487,1743,7579,4331,100
2026-04-17T16:11:31,15748,8264,2476,7483,1743,7579,4331,100
2026-04-17T16:11:32,15748,8277,2463,7470,1743,7661,4249,100
2026-04-17T16:11:33,15748,8280,2459,7467,1743,7743,4167,100
2026-04-17T16:11:34,15748,8285,2454,7462,1743,7825,4085,100
2026-04-17T16:11:35,15748,8551,2189,7196,1743,8503,3407,100
2026-04-17T16:11:36,15748,8533,2206,7214,1743,8503,3407,100
2026-04-17T16:11:37,15748,8542,2198,7205,1743,8503,3407,100
2026-04-17T16:11:38,15748,8543,2197,7204,1743,8503,3407,100
2026-04-17T16:11:39,15748,8546,2193,7201,1743,8503,3407,100
2026-04-17T16:11:40,15748,8532,2207,7215,1743,8503,3407,97
2026-04-17T16:11:41,15748,8526,2213,7221,1743,8503,3407,98
2026-04-17T16:11:42,15748,8531,2208,7216,1743,8845,3065,99
2026-04-17T16:11:43,15748,8523,2217,7225,1743,8845,3065,98
2026-04-17T16:11:44,15748,8524,2215,7223,1743,8845,3065,99
2026-04-17T16:11:45,15748,8522,2218,7226,1743,8845,3065,99
2026-04-17T16:11:46,15748,8517,2222,7230,1743,8845,3065,100
2026-04-17T16:11:47,15748,8499,2240,7248,1743,8845,3065,100
2026-04-17T16:11:48,15748,8496,2244,7251,1743,8845,3065,100
2026-04-17T16:11:49,15748,8479,2260,7268,1743,8845,3065,100
2026-04-17T16:11:50,15748,8491,2248,7256,1743,9635,2275,100
2026-04-17T16:11:51,15748,8488,2251,7259,1743,9635,2275,100
2026-04-17T16:11:53,15748,8491,2249,7258,1743,9635,2275,100
2026-04-17T16:11:54,15748,8487,2252,7260,1743,9635,2275,98
2026-04-17T16:11:55,15748,8501,2238,7247,1743,9635,2275,97
2026-04-17T16:11:56,15748,8500,2239,7247,1743,9635,2275,99
2026-04-17T16:11:57,15748,8504,2236,7243,1743,9635,2275,99
2026-04-17T16:11:58,15748,8508,2232,7239,1743,10181,1729,100
2026-04-17T16:11:59,15748,8495,2244,7252,1743,10181,1729,99
2026-04-17T16:12:00,15748,8491,2249,7256,1743,10181,1729,99
2026-04-17T16:12:01,15748,8486,2253,7261,1743,10181,1729,100
2026-04-17T16:12:02,15748,8490,2249,7257,1743,10181,1729,100
2026-04-17T16:12:03,15748,8503,2237,7244,1743,10181,1729,100
2026-04-17T16:12:04,15748,8499,2240,7248,1743,10181,1729,100
2026-04-17T16:12:05,15748,8485,2255,7262,1743,10181,1729,100
2026-04-17T16:12:06,15748,8476,2263,7271,1743,10747,1163,100
2026-04-17T16:12:07,15748,8486,2254,7261,1743,10747,1163,100
2026-04-17T16:12:08,15748,8482,2258,7265,1743,10747,1163,98
2026-04-17T16:12:09,15748,8483,2256,7264,1743,10747,1163,97
2026-04-17T16:12:10,15748,8476,2264,7272,1743,10747,1163,100
2026-04-17T16:12:11,15748,8490,2250,7257,1743,10747,1163,99
2026-04-17T16:12:12,15748,8475,2265,7272,1743,10747,1163,100
2026-04-17T16:12:13,15748,8468,2272,7279,1743,10747,1163,100
2026-04-17T16:12:14,15748,8479,2261,7268,1743,10747,1163,99
2026-04-17T16:12:15,15748,8455,2284,7292,1743,10747,1163,100
2026-04-17T16:12:16,15748,8450,2289,7297,1743,10747,1163,100
2026-04-17T16:12:17,15748,8453,2287,7294,1743,10747,1163,100
2026-04-17T16:12:18,15748,8473,2267,7274,1743,10747,1163,100
2026-04-17T16:12:19,15748,8455,2284,7292,1743,10747,1163,100
2026-04-17T16:12:20,15748,8466,2273,7281,1743,10747,1163,98
2026-04-17T16:12:21,15748,8515,2224,7232,1743,11411,499,100
2026-04-17T16:12:22,15748,8531,2208,7216,1743,11411,499,100
2026-04-17T16:12:23,15748,8526,2214,7222,1743,11411,499,98
2026-04-17T16:12:24,15748,8511,2228,7236,1743,11411,499,98
2026-04-17T16:12:25,15748,8526,2214,7221,1743,11411,499,99
2026-04-17T16:12:26,15748,8533,2207,7214,1743,11411,499,99
2026-04-17T16:12:27,15748,8540,2199,7207,1743,11411,499,100
2026-04-17T16:12:28,15748,3602,7137,12145,1743,321,11589,0
2026-04-17T16:12:29,15748,3246,7494,12503,1743,321,11589,0
2026-04-17T16:12:30,15748,3237,7502,12510,1743,321,11589,0
2026-04-17T16:12:31,15748,3243,7497,12504,1743,321,11589,0
2026-04-17T16:12:33,15748,3232,7508,12516,1743,321,11589,0
2026-04-17T16:12:34,15748,3228,7511,12520,1743,321,11589,0
2026-04-17T16:12:35,15748,3220,7520,12527,1743,321,11589,0
