timestamp,mem_total_mb,mem_used_mb,mem_free_mb,mem_available_mb,swap_used_mb,gpu_used_mib,gpu_free_mib,gpu_util_pct
2026-04-17T15:39:44,15748,3674,7299,12071,1086,321,11589,0
2026-04-17T15:39:45,15748,3820,7152,11927,1086,321,11589,0
2026-04-17T15:39:47,15748,4090,6875,11657,1086,324,11586,0
2026-04-17T15:39:48,15748,5362,5602,10377,1086,1001,10909,0
2026-04-17T15:39:49,15748,6197,4767,9550,1086,1001,10909,0
2026-04-17T15:39:50,15748,5211,5753,10536,1086,2815,9095,0
2026-04-17T15:39:51,15748,6259,4705,9488,1086,2815,9095,0
2026-04-17T15:39:52,15748,7086,3878,8661,1086,2815,9095,0
2026-04-17T15:39:53,15748,8013,2947,7734,1086,2815,9095,0
2026-04-17T15:39:54,15748,9178,1516,6570,1086,2815,9095,0
2026-04-17T15:39:55,15748,9619,701,6127,1086,2815,9095,0
2026-04-17T15:39:56,15748,10260,167,5486,1306,2815,9095,0
2026-04-17T15:39:57,15748,10224,465,5521,1627,3447,8463,70
2026-04-17T15:39:58,15748,7372,3312,8375,1627,5313,6597,92
2026-04-17T15:39:59,15748,7534,3151,8213,1627,6189,5721,100
2026-04-17T15:40:00,15748,7723,2962,8024,1627,6435,5475,100
2026-04-17T15:40:01,15748,7820,2865,7927,1627,6517,5393,95
2026-04-17T15:40:02,15748,7900,2784,7847,1627,6681,5229,96
2026-04-17T15:40:03,15748,8002,2683,7745,1627,6845,5065,99
2026-04-17T15:40:04,15748,8122,2562,7624,1627,6927,4983,100
2026-04-17T15:40:05,15748,8197,2487,7550,1627,7009,4901,100
2026-04-17T15:40:06,15748,8343,2341,7404,1627,7253,4657,100
2026-04-17T15:40:07,15748,8455,2229,7292,1627,7253,4657,100
2026-04-17T15:40:08,15748,8558,2126,7189,1627,7335,4575,100
2026-04-17T15:40:09,15748,8640,2044,7107,1627,7417,4493,93
2026-04-17T15:40:10,15748,8654,2029,7093,1627,7581,4329,99
2026-04-17T15:40:11,15748,8680,2003,7067,1627,7581,4329,99
2026-04-17T15:40:12,15748,8760,1923,6987,1627,7581,4329,100
2026-04-17T15:40:13,15748,8775,1908,6972,1627,7663,4247,100
2026-04-17T15:40:14,15748,8787,1896,6960,1627,7825,4085,100
2026-04-17T15:40:15,15748,8785,1898,6962,1627,7825,4085,100
2026-04-17T15:40:16,15748,8786,1897,6961,1627,7825,4085,97
2026-04-17T15:40:17,15748,8770,1913,6977,1627,7825,4085,99
2026-04-17T15:40:18,15748,8762,1921,6985,1627,7825,4085,99
2026-04-17T15:40:19,15748,8749,1934,6998,1627,7825,4085,100
2026-04-17T15:40:20,15748,8747,1937,7001,1627,7825,4085,100
2026-04-17T15:40:21,15748,8761,1923,6986,1627,7989,3921,100
2026-04-17T15:40:23,15748,8740,1944,7007,1627,7989,3921,100
2026-04-17T15:40:24,15748,8731,1952,7016,1627,7989,3921,98
2026-04-17T15:40:25,15748,8740,1943,7007,1627,7989,3921,99
