timestamp,mem_total_mb,mem_used_mb,mem_free_mb,mem_available_mb,swap_used_mb,gpu_used_mib,gpu_free_mib,gpu_util_pct
2026-04-17T16:07:43,15748,3099,7566,12648,1734,321,11589,0
2026-04-17T16:07:44,15748,3091,7574,12656,1734,321,11589,0
2026-04-17T16:07:45,15748,3108,7557,12639,1734,321,11589,0
2026-04-17T16:07:46,15748,3126,7539,12621,1734,321,11589,0
2026-04-17T16:07:47,15748,3392,7273,12355,1734,321,11589,0
2026-04-17T16:07:48,15748,3892,6773,11855,1734,1001,10909,0
2026-04-17T16:07:49,15748,5526,5139,10213,1734,1001,10909,0
2026-04-17T16:07:50,15748,5597,5068,10150,1734,1001,10909,0
2026-04-17T16:07:51,15748,4995,5670,10752,1734,2815,9095,0
2026-04-17T16:07:52,15748,5614,5051,10133,1734,2815,9095,0
2026-04-17T16:07:53,15748,6916,3749,8831,1734,2815,9095,0
2026-04-17T16:07:54,15748,8742,1923,7005,1734,2815,9095,0
2026-04-17T16:07:55,15748,10302,363,5445,1734,3779,8131,0
2026-04-17T16:07:56,15748,7412,3252,8335,1734,5285,6625,100
2026-04-17T16:07:57,15748,7463,3201,8285,1734,6283,5627,100
2026-04-17T16:07:58,15748,7480,3183,8267,1734,6659,5251,98
2026-04-17T16:07:59,15748,7488,3176,8259,1734,6659,5251,99
2026-04-17T16:08:00,15748,7486,3177,8261,1734,6659,5251,100
2026-04-17T16:08:01,15748,7496,3168,8251,1734,6659,5251,100
2026-04-17T16:08:02,15748,7501,3162,8246,1734,6659,5251,100
2026-04-17T16:08:03,15748,7512,3151,8235,1734,6847,5063,100
2026-04-17T16:08:04,15748,7503,3161,8244,1734,7035,4875,100
2026-04-17T16:08:05,15748,7489,3175,8259,1734,7035,4875,98
2026-04-17T16:08:06,15748,7488,3175,8259,1734,7035,4875,98
2026-04-17T16:08:07,15748,7491,3173,8257,1734,7035,4875,99
2026-04-17T16:08:08,15748,7487,3176,8260,1734,7197,4713,99
2026-04-17T16:08:09,15748,7483,3181,8264,1734,7197,4713,100
2026-04-17T16:08:10,15748,7495,3169,8252,1734,8101,3809,100
2026-04-17T16:08:11,15748,3153,7510,12594,1734,321,11589,0
2026-04-17T16:08:13,15748,3142,7521,12605,1734,321,11589,0
2026-04-17T16:08:14,15748,3128,7536,12620,1734,321,11589,0
2026-04-17T16:08:15,15748,3126,7537,12621,1734,321,11589,0
2026-04-17T16:08:16,15748,3145,7518,12602,1734,321,11589,0
2026-04-17T16:08:17,15748,3156,7507,12591,1734,321,11589,0
2026-04-17T16:08:18,15748,3149,7514,12598,1734,321,11589,0
2026-04-17T16:08:19,15748,3148,7515,12599,1734,321,11589,0
2026-04-17T16:08:20,15748,3141,7523,12607,1734,321,11589,0
2026-04-17T16:08:21,15748,3149,7514,12598,1734,321,11589,0
2026-04-17T16:08:22,15748,3134,7529,12613,1734,321,11589,0
2026-04-17T16:08:23,15748,3109,7554,12638,1734,321,11589,0
2026-04-17T16:08:24,15748,3090,7573,12657,1734,321,11589,0
2026-04-17T16:08:25,15748,3092,7571,12655,1734,321,11589,0
2026-04-17T16:08:26,15748,3104,7559,12643,1734,321,11589,0
2026-04-17T16:08:27,15748,3116,7547,12630,1734,321,11589,0
2026-04-17T16:08:28,15748,3121,7542,12626,1734,321,11589,0
2026-04-17T16:08:29,15748,3105,7558,12642,1734,321,11589,0
