timestamp,mem_total_mb,mem_used_mb,mem_free_mb,mem_available_mb,swap_used_mb,gpu_used_mib,gpu_free_mib,gpu_util_pct
2026-04-17T16:34:15,15748,3479,6554,12268,1698,321,11589,0
2026-04-17T16:34:16,15748,3494,6539,12253,1698,321,11589,0
2026-04-17T16:34:17,15748,3722,6311,12025,1698,321,11589,0
2026-04-17T16:34:18,15748,3959,6073,11788,1698,324,11586,0
2026-04-17T16:34:19,15748,5510,4523,10229,1698,1001,10909,0
2026-04-17T16:34:20,15748,6046,3986,9701,1698,1001,10909,0
2026-04-17T16:34:21,15748,5358,4674,10389,1698,2815,9095,0
2026-04-17T16:34:22,15748,6075,3958,9671,1698,2815,9095,0
2026-04-17T16:34:23,15748,7265,2767,8482,1698,2815,9095,0
2026-04-17T16:34:24,15748,8582,1450,7157,1698,2815,9095,0
2026-04-17T16:34:25,15748,10671,212,5076,1800,2815,9095,0
2026-04-17T16:34:26,15748,9174,1775,6573,1800,4289,7621,9
2026-04-17T16:34:27,15748,7446,3502,8301,1800,7525,4385,88
2026-04-17T16:34:28,15748,7460,3489,8287,1800,8277,3633,95
2026-04-17T16:34:30,15748,7478,3471,8269,1800,8359,3551,100
2026-04-17T16:34:31,15748,7465,3484,8282,1800,8445,3465,100
2026-04-17T16:34:32,15748,7472,3476,8275,1800,8451,3459,98
2026-04-17T16:34:33,15748,7475,3474,8272,1800,8453,3457,98
2026-04-17T16:34:34,15748,7461,3487,8286,1800,8459,3451,99
2026-04-17T16:34:35,15748,7462,3487,8287,1800,8463,3447,100
2026-04-17T16:34:36,15748,7459,3489,8288,1800,8715,3195,100
2026-04-17T16:34:37,15748,7463,3485,8284,1800,8717,3193,100
2026-04-17T16:34:38,15748,7480,3468,8267,1800,8721,3189,98
2026-04-17T16:34:39,15748,7461,3488,8286,1800,8725,3185,98
2026-04-17T16:34:40,15748,7442,3507,8305,1800,8729,3181,99
2026-04-17T16:34:41,15748,7446,3503,8301,1800,8735,3175,100
2026-04-17T16:34:42,15748,7483,3466,8264,1800,8769,3141,100
2026-04-17T16:34:43,15748,7480,3468,8267,1800,8769,3141,100
2026-04-17T16:34:44,15748,7467,3481,8280,1800,8931,2979,100
2026-04-17T16:34:45,15748,7457,3492,8291,1800,8931,2979,98
2026-04-17T16:34:46,15748,7450,3499,8297,1800,8931,2979,99
2026-04-17T16:34:47,15748,7426,3522,8321,1800,8931,2979,99
2026-04-17T16:34:48,15748,7438,3511,8309,1800,8931,2979,100
2026-04-17T16:34:49,15748,7441,3507,8306,1800,8931,2979,100
2026-04-17T16:34:50,15748,7455,3493,8292,1800,8963,2947,100
2026-04-17T16:34:51,15748,7451,3497,8296,1800,9125,2785,97
2026-04-17T16:34:52,15748,7436,3512,8311,1800,9125,2785,99
2026-04-17T16:34:53,15748,7434,3514,8313,1800,9125,2785,99
2026-04-17T16:34:54,15748,7111,3839,8636,1734,9125,2785,100
2026-04-17T16:34:55,15748,7120,3829,8627,1734,9125,2785,100
2026-04-17T16:34:56,15748,7137,3813,8610,1734,9125,2785,100
2026-04-17T16:34:57,15748,7135,3815,8613,1734,9157,2753,98
2026-04-17T16:34:58,15748,7132,3818,8615,1734,9157,2753,98
2026-04-17T16:34:59,15748,7149,3801,8598,1734,9157,2753,99
2026-04-17T16:35:00,15748,7152,3797,8595,1734,9157,2753,100
2026-04-17T16:35:01,15748,7131,3818,8616,1734,9157,2753,100
2026-04-17T16:35:02,15748,7118,3832,8629,1734,9157,2753,100
2026-04-17T16:35:03,15748,7127,3822,8622,1734,9157,2753,100
2026-04-17T16:35:04,15748,7129,3820,8618,1734,9271,2639,97
2026-04-17T16:35:05,15748,7117,3833,8631,1734,9433,2477,99
2026-04-17T16:35:06,15748,7114,3835,8633,1734,9433,2477,99
2026-04-17T16:35:07,15748,7115,3834,8632,1734,9433,2477,100
2026-04-17T16:35:08,15748,7134,3816,8613,1734,9433,2477,100
2026-04-17T16:35:09,15748,7137,3813,8611,1734,9433,2477,98
2026-04-17T16:35:10,15748,7127,3823,8620,1734,9433,2477,99
2026-04-17T16:35:11,15748,7134,3815,8613,1734,9465,2445,100
2026-04-17T16:35:12,15748,7131,3819,8616,1734,9465,2445,100
2026-04-17T16:35:14,15748,7131,3818,8616,1734,9627,2283,100
2026-04-17T16:35:15,15748,7127,3823,8621,1734,9627,2283,100
2026-04-17T16:35:16,15748,7129,3821,8620,1734,9627,2283,98
2026-04-17T16:35:17,15748,7134,3815,8613,1734,9627,2283,99
2026-04-17T16:35:18,15748,7126,3823,8621,1734,9627,2283,99
2026-04-17T16:35:19,15748,7134,3816,8613,1734,9627,2283,100
2026-04-17T16:35:20,15748,7128,3821,8619,1734,9659,2251,100
2026-04-17T16:35:21,15748,7136,3814,8612,1734,9659,2251,100
2026-04-17T16:35:22,15748,7148,3801,8599,1734,9659,2251,98
2026-04-17T16:35:23,15748,7154,3796,8594,1734,9659,2251,98
2026-04-17T16:35:24,15748,7138,3811,8610,1734,9659,2251,99
2026-04-17T16:35:25,15748,7132,3818,8615,1734,9659,2251,100
2026-04-17T16:35:26,15748,7130,3820,8617,1734,9659,2251,100
2026-04-17T16:35:27,15748,7140,3809,8607,1734,9691,2219,100
2026-04-17T16:35:28,15748,7152,3798,8595,1734,9853,2057,100
2026-04-17T16:35:29,15748,7162,3788,8585,1734,9853,2057,97
2026-04-17T16:35:30,15748,7137,3813,8610,1734,9853,2057,99
2026-04-17T16:35:31,15748,7133,3816,8613,1734,9853,2057,99
2026-04-17T16:35:32,15748,7127,3823,8620,1734,9853,2057,100
2026-04-17T16:35:33,15748,7122,3827,8625,1734,9853,2057,100
2026-04-17T16:35:34,15748,7124,3826,8623,1734,9885,2025,100
2026-04-17T16:35:35,15748,7119,3831,8628,1734,10129,1781,98
2026-04-17T16:35:36,15748,7119,3831,8629,1734,10129,1781,99
2026-04-17T16:35:37,15748,7109,3841,8638,1734,10129,1781,99
2026-04-17T16:35:38,15748,7116,3833,8631,1734,10129,1781,100
2026-04-17T16:35:39,15748,7119,3831,8628,1734,10129,1781,100
2026-04-17T16:35:40,15748,7121,3829,8627,1734,10129,1781,100
2026-04-17T16:35:41,15748,7111,3839,8636,1734,10161,1749,98
2026-04-17T16:35:42,15748,7108,3841,8639,1734,10161,1749,98
2026-04-17T16:35:43,15748,7110,3840,8637,1734,10323,1587,99
2026-04-17T16:35:44,15748,7127,3822,8620,1734,10323,1587,100
2026-04-17T16:35:45,15748,7129,3821,8618,1734,10323,1587,100
2026-04-17T16:35:46,15748,7123,3826,8624,1734,10323,1587,100
2026-04-17T16:35:47,15748,7115,3834,8634,1734,10323,1587,100
2026-04-17T16:35:48,15748,7096,3853,8651,1734,10323,1587,98
2026-04-17T16:35:49,15748,7104,3845,8643,1734,10355,1555,99
2026-04-17T16:35:50,15748,7091,3859,8656,1734,10355,1555,99
2026-04-17T16:35:51,15748,7089,3860,8658,1734,10355,1555,100
2026-04-17T16:35:52,15748,7097,3853,8650,1734,10355,1555,100
2026-04-17T16:35:53,15748,7091,3858,8656,1734,10355,1555,100
2026-04-17T16:35:54,15748,7072,3877,8675,1734,10355,1555,98
2026-04-17T16:35:55,15748,7076,3874,8672,1734,10355,1555,99
2026-04-17T16:35:57,15748,7086,3863,8661,1734,10387,1523,99
2026-04-17T16:35:58,15748,7105,3844,8642,1734,10549,1361,100
2026-04-17T16:35:59,15748,7108,3842,8639,1734,10549,1361,100
2026-04-17T16:36:00,15748,7147,3802,8607,1734,10549,1361,100
2026-04-17T16:36:01,15748,7135,3814,8612,1734,10569,1341,99
2026-04-17T16:36:02,15748,3122,7827,12625,1734,321,11589,8
2026-04-17T16:36:03,15748,3137,7812,12610,1734,321,11589,0
2026-04-17T16:36:04,15748,3148,7801,12599,1734,321,11589,0
2026-04-17T16:36:05,15748,3173,7776,12574,1734,321,11589,0
2026-04-17T16:36:06,15748,3157,7793,12590,1734,321,11589,0
2026-04-17T16:36:07,15748,3138,7812,12609,1734,321,11589,0
2026-04-17T16:36:08,15748,3153,7797,12594,1734,321,11589,0
2026-04-17T16:36:09,15748,3144,7805,12603,1734,321,11589,0
2026-04-17T16:36:10,15748,3146,7803,12601,1734,321,11589,0
2026-04-17T16:36:11,15748,3134,7816,12613,1734,321,11589,0
2026-04-17T16:36:12,15748,3117,7832,12630,1734,321,11589,0
2026-04-17T16:36:13,15748,3159,7791,12588,1734,321,11589,0
2026-04-17T16:36:14,15748,3176,7773,12571,1734,321,11589,0
2026-04-17T16:36:15,15748,3173,7776,12574,1734,321,11589,0
