timestamp,mem_total_mb,mem_used_mb,mem_free_mb,mem_available_mb,swap_used_mb,gpu_used_mib,gpu_free_mib,gpu_util_pct
2026-04-17T16:38:35,15748,3071,7854,12676,1734,321,11589,0
2026-04-17T16:38:36,15748,3055,7870,12692,1734,321,11589,0
2026-04-17T16:38:37,15748,3442,7483,12305,1734,324,11586,0
2026-04-17T16:38:38,15748,4537,6388,11210,1734,1001,10909,5
2026-04-17T16:38:39,15748,5567,5358,10180,1734,1001,10909,0
2026-04-17T16:38:40,15748,4339,6586,11408,1734,2815,9095,0
2026-04-17T16:38:41,15748,5606,5320,10142,1734,2815,9095,0
2026-04-17T16:38:42,15748,6256,4669,9491,1734,2815,9095,0
2026-04-17T16:38:43,15748,7191,3734,8556,1734,2815,9095,0
2026-04-17T16:38:44,15748,8370,2250,7378,1734,2815,9095,0
2026-04-17T16:38:45,15748,9529,844,6210,1734,2815,9095,0
2026-04-17T16:38:46,15748,7220,3448,8527,1742,4367,7543,81
2026-04-17T16:38:47,15748,7533,3135,8210,1742,5865,6045,100
2026-04-17T16:38:48,15748,7686,2982,8061,1742,6325,5585,100
2026-04-17T16:38:49,15748,7728,2940,8019,1742,6491,5419,99
2026-04-17T16:38:50,15748,7881,2787,7866,1742,6661,5249,95
2026-04-17T16:38:51,15748,8018,2650,7730,1742,6829,5081,98
2026-04-17T16:38:52,15748,8100,2568,7647,1742,6913,4997,100
2026-04-17T16:38:53,15748,8110,2558,7637,1742,6999,4911,100
2026-04-17T16:38:54,15748,8119,2549,7629,1742,7169,4741,100
2026-04-17T16:38:55,15748,8094,2574,7653,1742,7421,4489,99
2026-04-17T16:38:56,15748,8064,2604,7683,1742,7421,4489,96
2026-04-17T16:38:57,15748,8078,2590,7670,1742,7589,4321,96
2026-04-17T16:38:58,15748,8078,2590,7669,1742,7595,4315,99
2026-04-17T16:38:59,15748,8072,2596,7675,1742,7681,4229,100
2026-04-17T16:39:00,15748,8073,2595,7676,1742,7685,4225,100
2026-04-17T16:39:02,15748,8118,2550,7629,1742,7719,4191,100
2026-04-17T16:39:03,15748,8099,2569,7649,1742,7881,4029,97
2026-04-17T16:39:04,15748,8089,2579,7658,1742,7881,4029,98
2026-04-17T16:39:05,15748,8098,2570,7649,1742,7881,4029,99
2026-04-17T16:39:06,15748,8087,2581,7662,1742,7881,4029,100
2026-04-17T16:39:07,15748,8083,2585,7664,1742,7881,4029,100
2026-04-17T16:39:08,15748,8084,2584,7663,1742,7881,4029,100
2026-04-17T16:39:09,15748,8074,2594,7673,1742,7913,3997,99
2026-04-17T16:39:10,15748,8078,2590,7669,1742,7913,3997,98
2026-04-17T16:39:11,15748,8098,2570,7649,1742,7913,3997,99
2026-04-17T16:39:12,15748,8105,2563,7643,1742,7913,3997,99
2026-04-17T16:39:13,15748,8103,2565,7644,1742,7913,3997,100
2026-04-17T16:39:14,15748,8096,2572,7651,1742,7995,3915,100
2026-04-17T16:39:15,15748,8098,2570,7650,1742,7995,3915,100
2026-04-17T16:39:16,15748,8097,2571,7650,1742,7995,3915,99
2026-04-17T16:39:17,15748,8082,2586,7665,1742,8109,3801,99
2026-04-17T16:39:18,15748,8088,2580,7660,1742,8271,3639,100
2026-04-17T16:39:19,15748,8088,2580,7660,1742,8271,3639,100
2026-04-17T16:39:20,15748,8081,2587,7666,1742,8271,3639,100
2026-04-17T16:39:21,15748,8082,2586,7665,1742,8271,3639,99
2026-04-17T16:39:22,15748,8088,2580,7659,1742,8271,3639,99
2026-04-17T16:39:23,15748,8096,2572,7651,1742,8271,3639,99
2026-04-17T16:39:24,15748,8109,2559,7638,1742,8303,3607,100
2026-04-17T16:39:25,15748,8113,2555,7635,1742,8465,3445,100
2026-04-17T16:39:26,15748,8119,2549,7628,1742,8465,3445,100
2026-04-17T16:39:27,15748,8123,2545,7624,1742,8465,3445,100
2026-04-17T16:39:28,15748,8109,2559,7638,1742,8465,3445,97
2026-04-17T16:39:29,15748,8102,2565,7645,1742,8465,3445,99
2026-04-17T16:39:30,15748,8107,2561,7641,1742,8465,3445,100
2026-04-17T16:39:31,15748,8120,2547,7627,1742,8497,3413,100
2026-04-17T16:39:32,15748,8115,2553,7631,1742,8497,3413,100
2026-04-17T16:39:33,15748,8089,2579,7659,1742,8497,3413,100
2026-04-17T16:39:34,15748,8080,2588,7668,1742,8497,3413,98
2026-04-17T16:39:35,15748,8073,2595,7674,1742,8497,3413,97
2026-04-17T16:39:36,15748,8070,2598,7678,1742,8497,3413,99
2026-04-17T16:39:37,15748,8067,2601,7680,1742,8497,3413,100
2026-04-17T16:39:38,15748,8076,2592,7672,1742,8529,3381,100
2026-04-17T16:39:39,15748,8074,2594,7676,1742,8529,3381,100
2026-04-17T16:39:40,15748,8068,2600,7679,1742,8691,3219,100
2026-04-17T16:39:41,15748,8053,2615,7694,1742,8691,3219,97
2026-04-17T16:39:42,15748,8058,2610,7689,1742,8691,3219,99
2026-04-17T16:39:44,15748,8058,2610,7689,1742,8691,3219,100
2026-04-17T16:39:45,15748,8056,2612,7691,1742,8691,3219,100
2026-04-17T16:39:46,15748,8071,2597,7676,1742,8691,3219,100
2026-04-17T16:39:47,15748,8066,2602,7681,1742,8723,3187,100
2026-04-17T16:39:48,15748,8052,2615,7695,1742,8885,3025,98
2026-04-17T16:39:49,15748,8053,2615,7694,1742,8885,3025,98
2026-04-17T16:39:50,15748,8058,2609,7689,1742,8885,3025,99
2026-04-17T16:39:51,15748,8061,2607,7687,1742,8885,3025,100
2026-04-17T16:39:52,15748,8061,2607,7686,1742,8885,3025,100
2026-04-17T16:39:53,15748,8058,2610,7689,1742,8885,3025,100
2026-04-17T16:39:54,15748,8071,2597,7676,1742,8917,2993,100
2026-04-17T16:39:55,15748,8067,2601,7680,1742,9079,2831,98
2026-04-17T16:39:56,15748,8063,2604,7684,1742,9079,2831,99
2026-04-17T16:39:57,15748,8078,2590,7669,1742,9079,2831,99
2026-04-17T16:39:58,15748,8073,2595,7674,1742,9079,2831,100
2026-04-17T16:39:59,15748,8068,2600,7680,1742,9079,2831,100
2026-04-17T16:40:00,15748,8058,2610,7689,1742,9079,2831,100
2026-04-17T16:40:01,15748,8059,2609,7688,1742,9111,2799,98
2026-04-17T16:40:02,15748,8068,2600,7679,1742,9111,2799,98
2026-04-17T16:40:03,15748,8087,2581,7661,1742,9273,2637,99
2026-04-17T16:40:04,15748,8085,2581,7662,1741,9273,2637,99
2026-04-17T16:40:05,15748,8073,2593,7674,1741,9273,2637,100
2026-04-17T16:40:06,15748,8069,2597,7678,1741,9273,2637,100
2026-04-17T16:40:07,15748,8070,2596,7677,1741,9273,2637,100
2026-04-17T16:40:08,15748,8071,2595,7676,1741,9305,2605,97
2026-04-17T16:40:09,15748,8072,2595,7676,1741,9305,2605,99
2026-04-17T16:40:10,15748,8094,2569,7654,1741,9305,2605,99
2026-04-17T16:40:11,15748,8085,2577,7662,1741,9305,2605,100
2026-04-17T16:40:12,15748,8077,2585,7670,1741,9305,2605,100
