timestamp,mem_total_mb,mem_used_mb,mem_free_mb,mem_available_mb,swap_used_mb,gpu_used_mib,gpu_free_mib,gpu_util_pct
2026-04-17T16:43:13,15748,3107,7554,12636,1741,321,11589,0
2026-04-17T16:43:14,15748,3098,7563,12650,1741,321,11589,0
2026-04-17T16:43:15,15748,3097,7564,12650,1741,321,11589,0
2026-04-17T16:43:16,15748,3104,7557,12643,1741,321,11589,0
2026-04-17T16:43:18,15748,3120,7541,12628,1741,321,11589,0
2026-04-17T16:43:19,15748,3147,7511,12600,1741,321,11589,0
2026-04-17T16:43:20,15748,3133,7525,12614,1741,321,11589,0
2026-04-17T16:43:21,15748,3139,7519,12608,1741,321,11589,0
2026-04-17T16:43:22,15748,3152,7506,12595,1741,321,11589,0
2026-04-17T16:43:23,15748,3171,7487,12576,1741,321,11589,0
2026-04-17T16:43:24,15748,3156,7502,12591,1741,321,11589,0
2026-04-17T16:43:25,15748,3157,7501,12590,1741,321,11589,0
2026-04-17T16:43:26,15748,3150,7508,12597,1741,321,11589,0
2026-04-17T16:43:27,15748,3140,7517,12607,1741,321,11589,0
2026-04-17T16:43:28,15748,3146,7512,12601,1741,321,11589,0
2026-04-17T16:43:29,15748,3170,7488,12577,1741,321,11589,0
2026-04-17T16:43:30,15748,3163,7495,12584,1741,321,11589,0
2026-04-17T16:43:31,15748,3150,7508,12598,1741,321,11589,0
2026-04-17T16:43:32,15748,3140,7518,12607,1741,321,11589,0
2026-04-17T16:43:34,15748,3143,7515,12605,1741,321,11589,0
2026-04-17T16:43:35,15748,3137,7514,12610,1741,321,11589,0
2026-04-17T16:43:36,15748,3141,7509,12606,1741,321,11589,0
2026-04-17T16:43:37,15748,3162,7489,12585,1741,321,11589,0
2026-04-17T16:43:38,15748,3155,7495,12592,1741,321,11589,0
2026-04-17T16:43:39,15748,3138,7512,12609,1741,321,11589,0
2026-04-17T16:43:40,15748,3142,7508,12605,1741,321,11589,0
2026-04-17T16:43:41,15748,3151,7500,12597,1741,321,11589,0
2026-04-17T16:43:42,15748,3154,7497,12594,1741,321,11589,0
2026-04-17T16:43:43,15748,3152,7498,12595,1741,321,11589,0
2026-04-17T16:43:44,15748,3140,7510,12607,1741,321,11589,0
2026-04-17T16:43:45,15748,3131,7519,12616,1741,321,11589,0
2026-04-17T16:43:46,15748,3139,7511,12608,1741,321,11589,0
2026-04-17T16:43:47,15748,3492,7158,12255,1741,324,11586,0
2026-04-17T16:43:48,15748,4566,6085,11180,1741,1001,10909,10
2026-04-17T16:43:49,15748,5602,5049,10145,1741,1001,10909,0
2026-04-17T16:43:51,15748,4401,6249,11346,1741,2815,9095,63
2026-04-17T16:43:52,15748,5654,4996,10093,1741,2815,9095,0
2026-04-17T16:43:53,15748,6326,4325,9421,1741,2815,9095,0
2026-04-17T16:43:54,15748,7319,3332,8428,1741,2815,9095,0
2026-04-17T16:43:55,15748,8847,1513,6900,1741,2815,9095,0
2026-04-17T16:43:56,15748,10322,291,5424,1797,2815,9095,0
2026-04-17T16:43:57,15748,7246,3365,8501,1797,5321,6589,96
2026-04-17T16:43:58,15748,7473,3138,8274,1797,6327,5583,97
2026-04-17T16:43:59,15748,7643,2968,8104,1797,6653,5257,94
2026-04-17T16:44:00,15748,7768,2843,7979,1797,6653,5257,100
2026-04-17T16:44:01,15748,7935,2675,7812,1797,6817,5093,100
2026-04-17T16:44:02,15748,8048,2563,7699,1797,6899,5011,100
2026-04-17T16:44:03,15748,8160,2451,7587,1797,6981,4929,100
2026-04-17T16:44:04,15748,8288,2322,7459,1797,7145,4765,95
2026-04-17T16:44:05,15748,8425,2186,7322,1797,7227,4683,95
2026-04-17T16:44:06,15748,8548,2063,7199,1797,7473,4437,98
2026-04-17T16:44:07,15748,8632,1979,7115,1797,7555,4355,97
2026-04-17T16:44:08,15748,8627,1984,7120,1797,7637,4273,100
2026-04-17T16:44:09,15748,8641,1969,7106,1797,7637,4273,100
2026-04-17T16:44:10,15748,8663,1948,7084,1797,7719,4191,100
2026-04-17T16:44:11,15748,8673,1937,7074,1797,7801,4109,100
2026-04-17T16:44:12,15748,8823,1788,6924,1797,7801,4109,100
2026-04-17T16:44:13,15748,8814,1797,6933,1797,7963,3947,99
2026-04-17T16:44:14,15748,8808,1803,6939,1797,7963,3947,98
2026-04-17T16:44:15,15748,8804,1807,6943,1797,7963,3947,99
2026-04-17T16:44:16,15748,8796,1815,6951,1797,7963,3947,99
2026-04-17T16:44:17,15748,8783,1828,6964,1797,7963,3947,100
2026-04-17T16:44:18,15748,8759,1852,6988,1797,7963,3947,100
2026-04-17T16:44:19,15748,8764,1847,6983,1797,7963,3947,100
2026-04-17T16:44:20,15748,8759,1851,6988,1797,8125,3785,100
2026-04-17T16:44:21,15748,8752,1859,6995,1797,8125,3785,98
2026-04-17T16:44:22,15748,8762,1849,6985,1797,8125,3785,98
2026-04-17T16:44:23,15748,8744,1866,7003,1797,8125,3785,99
2026-04-17T16:44:24,15748,8742,1869,7005,1797,8125,3785,99
2026-04-17T16:44:25,15748,8737,1873,7010,1797,8125,3785,100
2026-04-17T16:44:26,15748,8733,1877,7015,1797,8125,3785,100
2026-04-17T16:44:27,15748,8734,1876,7014,1797,8125,3785,100
2026-04-17T16:44:28,15748,8754,1857,6993,1797,8369,3541,100
2026-04-17T16:44:29,15748,8773,1837,6975,1797,8369,3541,97
2026-04-17T16:44:30,15748,8773,1837,6975,1797,8369,3541,98
2026-04-17T16:44:31,15748,8808,1803,6939,1797,8531,3379,99
2026-04-17T16:44:32,15748,8785,1826,6962,1797,8531,3379,99
2026-04-17T16:44:33,15748,8783,1827,6965,1797,8531,3379,100
2026-04-17T16:44:35,15748,8778,1832,6969,1797,8531,3379,100
2026-04-17T16:44:36,15748,8777,1834,6970,1797,8693,3217,100
2026-04-17T16:44:37,15748,8778,1833,6969,1797,8693,3217,100
2026-04-17T16:44:38,15748,8776,1834,6971,1797,8693,3217,100
2026-04-17T16:44:39,15748,8748,1862,6999,1797,8693,3217,100
2026-04-17T16:44:40,15748,8740,1870,7007,1797,8693,3217,97
2026-04-17T16:44:41,15748,8740,1871,7008,1797,8693,3217,99
2026-04-17T16:44:42,15748,8736,1875,7011,1797,8693,3217,94
2026-04-17T16:44:43,15748,8730,1880,7017,1797,8693,3217,100
2026-04-17T16:44:44,15748,8730,1881,7017,1797,8775,3135,100
2026-04-17T16:44:45,15748,8734,1876,7013,1797,8775,3135,100
2026-04-17T16:44:46,15748,8731,1880,7017,1797,8775,3135,100
2026-04-17T16:44:47,15748,8707,1904,7040,1797,8857,3053,100
2026-04-17T16:44:48,15748,8710,1901,7037,1797,8857,3053,97
2026-04-17T16:44:49,15748,8706,1905,7041,1797,8857,3053,98
2026-04-17T16:44:50,15748,8693,1918,7054,1797,8939,2971,99
2026-04-17T16:44:51,15748,8709,1902,7038,1797,9101,2809,99
2026-04-17T16:44:52,15748,8703,1908,7044,1797,9101,2809,100
2026-04-17T16:44:53,15748,8704,1907,7043,1797,9101,2809,100
