timestamp,mem_total_mb,mem_used_mb,mem_free_mb,mem_available_mb,swap_used_mb,gpu_used_mib,gpu_free_mib,gpu_util_pct
2026-04-17T16:15:54,15748,3061,7672,12686,1739,321,11589,0
2026-04-17T16:15:55,15748,3092,7641,12655,1739,321,11589,0
2026-04-17T16:15:56,15748,3102,7631,12645,1739,321,11589,0
2026-04-17T16:15:57,15748,3102,7631,12645,1739,321,11589,0
2026-04-17T16:15:58,15748,3131,7602,12616,1739,321,11589,0
2026-04-17T16:15:59,15748,3138,7595,12609,1739,321,11589,0
2026-04-17T16:16:00,15748,3139,7594,12608,1739,321,11589,0
2026-04-17T16:16:01,15748,3146,7587,12601,1739,321,11589,0
2026-04-17T16:16:02,15748,3143,7590,12604,1739,321,11589,0
2026-04-17T16:16:03,15748,3405,7328,12342,1739,321,11589,0
2026-04-17T16:16:04,15748,3793,6940,11954,1739,849,11061,0
2026-04-17T16:16:05,15748,5423,5310,10324,1739,1001,10909,0
2026-04-17T16:16:06,15748,5625,5109,10130,1739,1105,10805,0
2026-04-17T16:16:07,15748,5247,5486,10500,1739,2815,9095,0
2026-04-17T16:16:08,15748,5649,5084,10098,1739,2815,9095,0
2026-04-17T16:16:09,15748,7146,3587,8601,1739,2815,9095,0
2026-04-17T16:16:10,15748,8538,2195,7201,1739,2815,9095,0
2026-04-17T16:16:11,15748,10508,225,5239,1739,3077,8833,12
2026-04-17T16:16:12,15748,3180,7553,12567,1739,321,11589,0
2026-04-17T16:16:13,15748,3187,7546,12560,1739,321,11589,0
2026-04-17T16:16:15,15748,3146,7587,12601,1739,321,11589,0
2026-04-17T16:16:16,15748,3149,7584,12598,1739,321,11589,0
2026-04-17T16:16:17,15748,3127,7606,12620,1739,321,11589,0
2026-04-17T16:16:18,15748,3102,7631,12645,1739,321,11589,0
2026-04-17T16:16:19,15748,3103,7630,12644,1739,321,11589,0
2026-04-17T16:16:20,15748,3160,7573,12587,1739,321,11589,0
2026-04-17T16:16:21,15748,3101,7632,12646,1739,321,11589,0
2026-04-17T16:16:22,15748,3115,7618,12632,1739,321,11589,0
2026-04-17T16:16:23,15748,3128,7605,12619,1739,321,11589,0
2026-04-17T16:16:24,15748,3142,7591,12605,1739,321,11589,0
2026-04-17T16:16:25,15748,3128,7605,12619,1739,321,11589,0
2026-04-17T16:16:26,15748,3159,7574,12586,1739,321,11589,0
2026-04-17T16:16:27,15748,3139,7594,12608,1739,321,11589,0
2026-04-17T16:16:28,15748,3143,7589,12604,1739,321,11589,0
2026-04-17T16:16:29,15748,3149,7584,12598,1739,321,11589,0
2026-04-17T16:16:30,15748,3144,7589,12603,1739,321,11589,0
2026-04-17T16:16:31,15748,3129,7603,12618,1739,321,11589,0
2026-04-17T16:16:33,15748,3117,7616,12630,1739,321,11589,0
2026-04-17T16:16:34,15748,3102,7631,12645,1739,321,11589,0
2026-04-17T16:16:35,15748,3103,7629,12644,1739,321,11589,0
2026-04-17T16:16:36,15748,3090,7642,12657,1739,321,11589,0
2026-04-17T16:16:37,15748,3084,7649,12663,1739,321,11589,0
2026-04-17T16:16:38,15748,3101,7549,12646,1739,321,11589,0
2026-04-17T16:16:39,15748,3108,7542,12640,1739,321,11589,0
2026-04-17T16:16:40,15748,3112,7537,12635,1739,321,11589,0
2026-04-17T16:16:41,15748,3110,7539,12636,1739,321,11589,0
2026-04-17T16:16:42,15748,3116,7533,12631,1739,321,11589,0
2026-04-17T16:16:43,15748,3114,7535,12632,1739,321,11589,0
2026-04-17T16:16:44,15748,3168,7482,12579,1739,321,11589,0
2026-04-17T16:16:45,15748,3166,7483,12581,1739,321,11589,0
2026-04-17T16:16:46,15748,3182,7468,12565,1739,321,11589,0
2026-04-17T16:16:47,15748,3139,7510,12608,1738,321,11589,0
2026-04-17T16:16:49,15748,3146,7503,12601,1738,321,11589,0
2026-04-17T16:16:50,15748,3125,7524,12622,1738,321,11589,0
2026-04-17T16:16:51,15748,3134,7516,12614,1738,321,11589,0
2026-04-17T16:16:52,15748,3114,7535,12633,1738,321,11589,0
2026-04-17T16:16:53,15748,3117,7532,12630,1738,321,11589,0
2026-04-17T16:16:54,15748,3122,7528,12625,1738,321,11589,0
2026-04-17T16:16:55,15748,3109,7540,12638,1738,321,11589,0
2026-04-17T16:16:56,15748,3106,7543,12641,1738,321,11589,0
2026-04-17T16:16:57,15748,3103,7546,12644,1738,321,11589,0
2026-04-17T16:16:58,15748,3118,7532,12629,1738,321,11589,0
2026-04-17T16:16:59,15748,3115,7534,12632,1738,321,11589,0
2026-04-17T16:17:00,15748,3101,7548,12646,1738,321,11589,0
2026-04-17T16:17:01,15748,3113,7536,12634,1738,321,11589,0
2026-04-17T16:17:02,15748,3111,7538,12638,1738,321,11589,0
2026-04-17T16:17:03,15748,3121,7528,12626,1738,321,11589,0
2026-04-17T16:17:04,15748,3114,7535,12633,1738,321,11589,0
2026-04-17T16:17:06,15748,3161,7488,12586,1738,321,11589,0
2026-04-17T16:17:07,15748,3119,7530,12628,1737,321,11589,0
2026-04-17T16:17:08,15748,3117,7532,12631,1737,321,11589,0
2026-04-17T16:17:09,15748,3106,7543,12641,1737,321,11589,0
2026-04-17T16:17:10,15748,3097,7552,12650,1737,321,11589,0
2026-04-17T16:17:11,15748,3099,7550,12648,1737,321,11589,0
2026-04-17T16:17:12,15748,3097,7552,12650,1737,321,11589,0
2026-04-17T16:17:13,15748,3107,7542,12640,1737,321,11589,0
2026-04-17T16:17:14,15748,3106,7543,12641,1737,321,11589,0
2026-04-17T16:17:15,15748,3087,7562,12659,1737,321,11589,0
2026-04-17T16:17:16,15748,3090,7559,12657,1737,321,11589,0
2026-04-17T16:17:17,15748,3091,7558,12656,1737,321,11589,0
2026-04-17T16:17:18,15748,3097,7552,12651,1737,321,11589,0
2026-04-17T16:17:19,15748,3082,7567,12665,1737,321,11589,0
2026-04-17T16:17:20,15748,3078,7571,12669,1737,321,11589,0
2026-04-17T16:17:22,15748,3083,7566,12664,1737,321,11589,0
2026-04-17T16:17:23,15748,3205,7444,12542,1737,321,11589,0
2026-04-17T16:17:24,15748,3212,7436,12534,1737,321,11589,0
2026-04-17T16:17:25,15748,3193,7456,12554,1737,321,11589,0
2026-04-17T16:17:26,15748,3195,7454,12553,1737,321,11589,0
2026-04-17T16:17:27,15748,3198,7451,12549,1737,321,11589,0
2026-04-17T16:17:28,15748,3192,7457,12555,1737,321,11589,0
2026-04-17T16:17:29,15748,3198,7451,12550,1737,321,11589,0
2026-04-17T16:17:30,15748,3189,7460,12558,1737,321,11589,0
2026-04-17T16:17:31,15748,3183,7466,12565,1737,321,11589,0
2026-04-17T16:17:32,15748,3194,7455,12553,1737,321,11589,0
2026-04-17T16:17:33,15748,3175,7474,12572,1737,321,11589,0
2026-04-17T16:17:34,15748,3182,7467,12565,1737,321,11589,0
2026-04-17T16:17:35,15748,3190,7459,12557,1737,321,11589,0
2026-04-17T16:17:36,15748,3197,7452,12551,1737,321,11589,0
2026-04-17T16:17:38,15748,3190,7459,12557,1737,321,11589,0
2026-04-17T16:17:39,15748,3199,7450,12548,1737,321,11589,0
2026-04-17T16:17:40,15748,3184,7465,12563,1737,321,11589,0
2026-04-17T16:17:41,15748,3192,7457,12555,1737,321,11589,0
2026-04-17T16:17:42,15748,3180,7469,12567,1737,321,11589,0
2026-04-17T16:17:43,15748,3178,7471,12569,1737,321,11589,0
2026-04-17T16:17:44,15748,3192,7457,12555,1737,321,11589,0
2026-04-17T16:17:45,15748,3190,7459,12557,1737,321,11589,0
2026-04-17T16:17:46,15748,3189,7460,12559,1737,321,11589,0
2026-04-17T16:17:47,15748,3180,7469,12567,1737,321,11589,0
2026-04-17T16:17:48,15748,3165,7484,12582,1737,321,11589,0
2026-04-17T16:17:49,15748,2958,7691,12789,1737,321,11589,0
2026-04-17T16:17:50,15748,2958,7691,12789,1737,321,11589,0
2026-04-17T16:17:51,15748,2948,7700,12799,1737,321,11589,0
2026-04-17T16:17:52,15748,2937,7712,12811,1737,321,11589,0
2026-04-17T16:17:54,15748,2939,7710,12808,1737,321,11589,0
2026-04-17T16:17:55,15748,2937,7711,12810,1737,321,11589,0
2026-04-17T16:17:56,15748,2922,7727,12825,1737,321,11589,0
2026-04-17T16:17:57,15748,2918,7730,12829,1737,321,11589,0
2026-04-17T16:17:58,15748,2941,7707,12806,1737,321,11589,0
2026-04-17T16:17:59,15748,2941,7708,12807,1737,321,11589,0
2026-04-17T16:18:00,15748,2934,7715,12813,1737,321,11589,0
2026-04-17T16:18:01,15748,2923,7725,12824,1737,321,11589,0
2026-04-17T16:18:02,15748,2925,7723,12821,1737,321,11589,0
2026-04-17T16:18:03,15748,2923,7725,12824,1737,321,11589,0
2026-04-17T16:18:04,15748,2926,7722,12821,1737,321,11589,0
2026-04-17T16:18:05,15748,2941,7708,12806,1737,321,11589,0
2026-04-17T16:18:06,15748,2926,7723,12821,1737,321,11589,0
2026-04-17T16:18:07,15748,2923,7726,12825,1737,321,11589,0
2026-04-17T16:18:08,15748,2917,7732,12830,1737,321,11589,0
2026-04-17T16:18:10,15748,2907,7742,12840,1737,321,11589,0
2026-04-17T16:18:11,15748,2903,7745,12844,1737,321,11589,0
2026-04-17T16:18:12,15748,2915,7734,12833,1737,321,11589,0
2026-04-17T16:18:13,15748,2921,7727,12826,1737,321,11589,0
2026-04-17T16:18:14,15748,2921,7728,12826,1737,321,11589,0
2026-04-17T16:18:15,15748,2903,7745,12844,1737,321,11589,0
