timestamp,mem_total_mb,mem_used_mb,mem_free_mb,mem_available_mb,swap_used_mb,gpu_used_mib,gpu_free_mib,gpu_util_pct
2026-04-17T17:11:13,15748,2931,7569,12816,1792,321,11589,0
2026-04-17T17:11:14,15748,2943,7557,12804,1792,321,11589,0
2026-04-17T17:11:15,15748,3006,7494,12741,1792,321,11589,0
2026-04-17T17:11:16,15748,3133,7366,12613,1792,321,11589,0
2026-04-17T17:11:17,15748,3143,7357,12605,1792,321,11589,0
2026-04-17T17:11:18,15748,3159,7340,12588,1792,321,11589,0
2026-04-17T17:11:19,15748,3168,7331,12579,1792,321,11589,0
2026-04-17T17:11:20,15748,3190,7310,12557,1792,321,11589,0
2026-04-17T17:11:21,15748,3188,7312,12559,1792,321,11589,0
2026-04-17T17:11:22,15748,3186,7313,12561,1792,321,11589,0
2026-04-17T17:11:23,15748,3202,7298,12545,1792,321,11589,0
2026-04-17T17:11:24,15748,3189,7310,12558,1792,321,11589,0
2026-04-17T17:11:25,15748,3444,7055,12303,1792,321,11589,0
2026-04-17T17:11:26,15748,3634,6865,12112,1792,324,11586,0
2026-04-17T17:11:27,15748,5160,5339,10587,1792,1001,10909,0
2026-04-17T17:11:28,15748,5662,4837,10085,1792,1001,10909,0
2026-04-17T17:11:29,15748,4932,5567,10815,1792,2815,9095,0
2026-04-17T17:11:30,15748,5700,4799,10047,1792,2815,9095,0
2026-04-17T17:11:31,15748,6818,3681,8921,1792,2815,9095,0
2026-04-17T17:11:32,15748,8173,2326,7574,1792,2815,9095,0
2026-04-17T17:11:33,15748,10505,218,5241,1822,2815,9095,5
2026-04-17T17:11:34,15748,7538,3184,8209,1822,5307,6603,97
2026-04-17T17:11:35,15748,7686,3037,8061,1822,6221,5689,95
2026-04-17T17:11:37,15748,7765,2957,7982,1822,6387,5523,99
2026-04-17T17:11:38,15748,7908,2814,7839,1822,6637,5273,100
2026-04-17T17:11:39,15748,8045,2678,7702,1822,6723,5187,100
2026-04-17T17:11:40,15748,8136,2586,7611,1822,6725,5185,100
2026-04-17T17:11:41,15748,8239,2484,7508,1822,6975,4935,96
2026-04-17T17:11:42,15748,8349,2374,7398,1822,7063,4847,95
2026-04-17T17:11:43,15748,8324,2398,7422,1822,7231,4679,99
2026-04-17T17:11:44,15748,8436,2286,7311,1822,7399,4511,99
2026-04-17T17:11:45,15748,8507,2215,7240,1822,7483,4427,100
2026-04-17T17:11:46,15748,8571,2151,7176,1822,7571,4339,100
2026-04-17T17:11:47,15748,8580,2142,7167,1822,7575,4335,100
2026-04-17T17:11:48,15748,8574,2148,7173,1822,7661,4249,98
2026-04-17T17:11:49,15748,8604,2119,7144,1822,7697,4213,98
2026-04-17T17:11:50,15748,8617,2105,7130,1822,7697,4213,99
2026-04-17T17:11:51,15748,8614,2108,7133,1822,7697,4213,100
2026-04-17T17:11:52,15748,8611,2111,7136,1822,7697,4213,100
2026-04-17T17:11:53,15748,8617,2106,7130,1822,7779,4131,100
2026-04-17T17:11:54,15748,8624,2099,7123,1822,7779,4131,98
2026-04-17T17:11:55,15748,8617,2106,7130,1822,7779,4131,98
2026-04-17T17:11:56,15748,8601,2121,7146,1822,7779,4131,99
2026-04-17T17:11:57,15748,8619,2103,7128,1822,7893,4017,100
2026-04-17T17:11:58,15748,8622,2101,7125,1822,7893,4017,100
2026-04-17T17:11:59,15748,8631,2091,7116,1822,7893,4017,100
2026-04-17T17:12:00,15748,8608,2115,7139,1822,7893,4017,100
2026-04-17T17:12:01,15748,8593,2129,7154,1822,7893,4017,98
2026-04-17T17:12:02,15748,8595,2128,7152,1822,7893,4017,99
2026-04-17T17:12:03,15748,8594,2128,7153,1822,7975,3935,99
2026-04-17T17:12:04,15748,8593,2129,7154,1822,8007,3903,100
2026-04-17T17:12:05,15748,8578,2144,7169,1822,8007,3903,100
2026-04-17T17:12:06,15748,8586,2137,7162,1822,8007,3903,100
2026-04-17T17:12:07,15748,8584,2139,7163,1822,8007,3903,100
2026-04-17T17:12:08,15748,8596,2127,7152,1822,8089,3821,98
2026-04-17T17:12:09,15748,8584,2138,7163,1822,8089,3821,99
2026-04-17T17:12:10,15748,8591,2132,7156,1822,8171,3739,100
2026-04-17T17:12:11,15748,8562,2160,7185,1822,8203,3707,100
2026-04-17T17:12:12,15748,8566,2156,7181,1822,8203,3707,100
2026-04-17T17:12:13,15748,8575,2147,7172,1822,8203,3707,100
2026-04-17T17:12:14,15748,8578,2145,7169,1822,8203,3707,98
