timestamp,mem_total_mb,mem_used_mb,mem_free_mb,mem_available_mb,swap_used_mb,gpu_used_mib,gpu_free_mib,gpu_util_pct
2026-04-17T17:31:18,15748,2978,7622,12770,1889,321,11589,0
2026-04-17T17:31:19,15748,3025,7575,12722,1889,321,11589,0
2026-04-17T17:31:20,15748,3046,7553,12701,1889,321,11589,0
2026-04-17T17:31:21,15748,3053,7547,12694,1889,321,11589,0
2026-04-17T17:31:22,15748,3048,7552,12699,1889,321,11589,0
2026-04-17T17:31:23,15748,3064,7535,12683,1889,321,11589,0
2026-04-17T17:31:24,15748,3079,7521,12668,1889,321,11589,0
2026-04-17T17:31:25,15748,3071,7529,12676,1889,321,11589,0
2026-04-17T17:31:26,15748,3067,7533,12680,1889,321,11589,0
2026-04-17T17:31:27,15748,3071,7528,12676,1889,321,11589,0
2026-04-17T17:31:28,15748,3064,7536,12683,1889,321,11589,0
2026-04-17T17:31:29,15748,3064,7536,12684,1889,321,11589,0
2026-04-17T17:31:30,15748,3068,7532,12679,1889,321,11589,0
2026-04-17T17:31:31,15748,3073,7526,12674,1889,321,11589,0
2026-04-17T17:31:32,15748,3055,7545,12692,1889,321,11589,0
2026-04-17T17:31:33,15748,3363,7236,12382,1889,321,11589,0
2026-04-17T17:31:34,15748,3777,6820,11970,1889,849,11061,0
2026-04-17T17:31:35,15748,5352,5245,10394,1889,1001,10909,0
2026-04-17T17:31:36,15748,5658,4940,10103,1889,1073,10837,0
2026-04-17T17:31:37,15748,5204,5393,10541,1889,2815,9095,0
2026-04-17T17:31:38,15748,5622,4975,10125,1889,2815,9095,0
2026-04-17T17:31:39,15748,7112,3486,8635,1889,2815,9095,0
2026-04-17T17:31:40,15748,8262,2290,7478,1889,2815,9095,0
2026-04-17T17:31:41,15748,10176,247,5565,1889,2815,9095,0
2026-04-17T17:31:42,15748,7953,2526,7794,1970,4689,7221,81
2026-04-17T17:31:44,15748,8151,2328,7596,1970,6223,5687,100
2026-04-17T17:31:45,15748,8166,2312,7581,1970,7195,4715,100
2026-04-17T17:31:46,15748,8325,2152,7422,1970,8507,3403,100
2026-04-17T17:31:47,15748,8374,2104,7372,1970,10055,1855,96
2026-04-17T17:31:48,15748,8430,2048,7317,1970,10055,1855,100
2026-04-17T17:31:49,15748,8542,1936,7205,1970,10387,1523,99
2026-04-17T17:31:50,15748,8587,1891,7160,1970,10387,1523,100
2026-04-17T17:31:51,15748,8721,1757,7026,1970,10395,1515,97
2026-04-17T17:31:52,15748,8724,1754,7022,1970,10395,1515,100
2026-04-17T17:31:53,15748,8850,1628,6897,1970,10403,1507,100
2026-04-17T17:31:54,15748,8870,1608,6877,1970,10405,1505,100
2026-04-17T17:31:55,15748,8984,1494,6763,1970,10411,1499,100
2026-04-17T17:31:56,15748,9054,1424,6692,1970,10743,1167,99
2026-04-17T17:31:57,15748,9115,1363,6632,1970,10743,1167,100
2026-04-17T17:31:58,15748,9280,1198,6467,1970,10771,1139,96
2026-04-17T17:31:59,15748,9314,1164,6433,1970,10771,1139,100
2026-04-17T17:32:00,15748,9358,1120,6389,1970,11095,815,97
2026-04-17T17:32:01,15748,9377,1101,6370,1970,11095,815,100
2026-04-17T17:32:02,15748,9397,1081,6350,1970,11095,815,99
2026-04-17T17:32:03,15748,9413,1065,6334,1970,11095,815,100
2026-04-17T17:32:04,15748,9420,1057,6327,1970,11099,811,100
2026-04-17T17:32:05,15748,9434,1044,6313,1970,11431,479,99
2026-04-17T17:32:06,15748,9419,1059,6328,1970,11451,459,100
2026-04-17T17:32:07,15748,9419,1059,6328,1970,11451,459,100
2026-04-17T17:32:08,15748,9431,1047,6316,1970,11451,459,100
2026-04-17T17:32:09,15748,9424,1054,6323,1970,11451,459,100
2026-04-17T17:32:10,15748,9443,1035,6304,1970,11451,459,100
2026-04-17T17:32:11,15748,9453,1025,6294,1970,11455,455,100
2026-04-17T17:32:12,15748,9460,1018,6287,1970,11463,447,100
2026-04-17T17:32:13,15748,9469,1009,6279,1970,11483,427,100
2026-04-17T17:32:14,15748,9484,994,6263,1970,11483,427,99
2026-04-17T17:32:15,15748,9489,989,6258,1970,11483,427,100
2026-04-17T17:32:16,15748,9475,1003,6272,1970,11483,427,100
2026-04-17T17:32:17,15748,9451,1026,6296,1970,11483,427,100
2026-04-17T17:32:18,15748,9443,1035,6304,1970,11487,423,99
2026-04-17T17:32:19,15748,9453,1025,6297,1970,11487,423,100
2026-04-17T17:32:20,15748,9423,1055,6324,1970,11515,395,100
2026-04-17T17:32:21,15748,9413,1065,6334,1970,11515,395,100
2026-04-17T17:32:22,15748,9406,1072,6341,1970,11515,395,100
2026-04-17T17:32:23,15748,9427,1051,6320,1970,11515,395,100
2026-04-17T17:32:24,15748,9435,1043,6313,1970,11515,395,100
2026-04-17T17:32:25,15748,9414,1064,6333,1970,11519,391,99
2026-04-17T17:32:26,15748,9409,1068,6338,1970,11519,391,100
2026-04-17T17:32:28,15748,9399,1079,6348,1970,11871,39,100
2026-04-17T17:32:29,15748,9399,1079,6348,1970,11871,39,100
